"ISBN","Book-Title","Book-Author","Year-of-Publication","Publisher","Quantity"
"3548603203","Artemis Fowl.","Eoin Colfer","2003","Ullstein TB-Vlg","22"
"2253057835","La Contrebasse","Patrick S�?¼skind","1992","LGF","31"
"2020482363","Sans nouvelles de Gurb","Eduardo Mendoza","2001","Seuil","69"
"2264027754","Eureka Street","Robert McLiam-Wilson","1999","10x18","78"
"2264032189","La L�?©gende d'Henry Smart","Roddy Doyle","2002","Editions 10/18","77"
"052594527X","Girl With a Pearl Earring","Tracy Chevalier","1999","Dutton Books","51"
"3257204833","Kleine Mordgeschichten f�?¼r Tierfreunde.","Patricia Highsmith","1979","Diogenes Verlag","41"
"3596156963","Anleitung zum Unschuldigsein. Das �?�?bungsbuch f�?¼r ein schlechtes Gewissen.","Florian Illies","2002","Fischer (Tb.), Frankfurt","21"
"3596122279","Das Superwieb","Hera Lind","2002","Distribooks Inc","18"
"3404141970","Wolfsherz.","Wolfgang Hohlbein","1999","L�?¼bbe","70"
"0029281113","The Passionate Mind: Bringing Up an Intelligent and Creative Child","Michael Schulman","1991","Simon &amp; Schuster","69"
"0517559552","The Little Boy Book: A Guide to the First Eight Years","Shelia Moore","1988","Random House Value Pub","99"
"0345338545","Follow the River","James Alexander Thom","1996","Ballantine Books","71"
"0375701044","Personal History","Katharine Graham","1998","Vintage Books USA","60"
"0316158720","The Archivist","Martha Cooley","1998","Little Brown &amp; Co","39"
"0007154615","Unless : A Novel","Carol Shields","2003","Perennial","54"
"0375412824","The Dive From Clausen's Pier (Alex Awards)","ANN PACKER","2002","Knopf","67"
"1558743669","A Child Called ""It"": One Child's Courage to Survive","Dave Pelzer","1995","Health Communications","26"
"084236661X","The Strong-Willed Child: Birth Through Adolescence","James Dobson","1985","Tyndale House Publishers","95"
"0708842100","A Wing and a Prayer","Graham Nown","1991","Time Warner Books UK","89"
"059045367X","Monster Blood (Goosebumps, No 3)","R. L. Stine","1995","Scholastic","39"
"0590453661","Stay Out of the Basement (Goosebumps, No 2)","R. L. Stine","1995","Scholastic","51"
"059042761X","Wednesday Witch","Ruth Chew","1969","Scholastic Paperbacks (Mm)","29"
"0385721617","Juno &amp; Juliet: A Novel","Julian Gough","2002","Anchor Books/Doubleday","29"
"0694013226","What to Expect When You Use the Potty (What to Expect Kids)","Heidi Murkoff","2000","HarperFestival","55"
"0441005764","Mossflower (Redwall, Book 2)","Brian Jacques","1998","Ace Books","71"
"0553582135","Final Target","Iris Johansen","2002","Bantam Books","96"
"0671034065","Mr. Perfect","Linda Howard","2000","Atria","57"
"0451410777","Sleep Tight (Onyx Book)","Anne Frasier","2003","Onyx Books","34"
"0345418832","The Puzzled Heart (Kate Fansler Novels (Hardcover))","Amanda Cross","1998","Ballantine Books","29"
"0671026801","The Hunted","Alan Jacobson","2001","Atria","34"
"0671024051","Mosaic","Gayle Lynds","1998","Atria","23"
"0684869829","The Courtship Gift: A Novel","Julie Parsons","2000","Simon &amp; Schuster","64"
"0399147772","Orchid Blues (Holly Barker Novels (Hardcover))","Stuart Woods","2001","G. P. Putnam's Sons","97"
"0440237416","Warning Signs","Stephen White","2003","Dell Publishing Company","18"
"0439101336","A Christmas Carol (Scholastic Classics)","Charles Dickens","2000","Scholastic","16"
"0399147284","Chosen Prey","John Sandford","2001","G. P. Putnam's Sons","44"
"0684832380","MY GAL SUNDAY LARGE PRINT : ""Henry and Sunday"" Stories","Mary Higgins Clark","1996","Simon &amp; Schuster","43"
"039914210X","The Cat Who Tailed a Thief","Lilian Jackson Braun","1997","Putnam Pub Group","47"
"0380730359","Gone, Baby, Gone: A Novel","Dennis Lehane","1999","HarperTorch","83"
"0374166560","The Great Victorian Collection","Brian Moore","1975","Farrar Straus Giroux","95"
"0451150635","Different Seasons M/TV","Stephen King","1986","Signet Book","33"
"3596132762","Ein Mann für eine Nacht: Roman (Die Frau in der Gesellschaft)","Jil Karoly","1996","Fischer Taschenbuch Verlag","54"
"3492225926","Das W�?¼ten der ganzen Welt.","Maarten 't Hart","1999","Piper","77"
"006018700X","Design for Dying","Timothy Leary","1997","HarperSanFrancisco","71"
"0684836483","250 Things You Can Do to Make Your Cat Adore You","Ingrid Newkirk","1998","Fireside","25"
"0571174450","Touching from a Distance: Ian Curtis and Joy Division","Deborah Curtis","1996","Faber &amp; Faber","12"
"0312848846","D/S: An Anti-Love Story","Gary S. Kadet","2000","Forge","98"
"0442043244","Philosopher Looks At Science","John G Kemeny","0","Van Nostrand Reinhold/co Wiley","95"
"0880381736","Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)","Margaret Weis","1990","TSR","69"
"8433966111","La Musica del Azar","Paul Auster","1998","Anagrama","36"
"0767907817","Bookends : A Novel","Jane Green","2003","Broadway","60"
"0385720106","A Map of the World","Jane Hamilton","1999","Anchor Books/Doubleday","72"
"0553208845","Siddhartha","Hermann Hesse","1981","Bantam Classics","77"
"0064400581","Julie of the Wolves (Julie of the Wolves)","Jean Craighead George","1972","HarperTrophy","45"
"0571142745","Buddha of Suburbia","Hanif Kureishi","0","Faber Faber Inc","74"
"0898861780","Snowshoeing","Gene Prater","1988","Mountaineers Books","16"
"1586480456","Sincerely, Andy Rooney","Andy Rooney","2001","PublicAffairs","67"
"030681188X","How to Lose Friends &amp; Alienate People","Toby Young","2002","DaCapo Press","74"
"0688155022","The Rise and Fall of the House of Barneys: A Family Tale of Chutzpah, Glory, and Greed","Joshua Levine","1999","William Morrow &amp; Company","10"
"088064219X","The Private Life of Kim Philby: The Moscow Years","Rufina Philby","2000","Fromm Intl","68"
"1904095399","Who Was Dr.Charlotte Bach?","Francis Wheen","2002","Short Books, London","49"
"0743204158","The Pretender: How Martin Frankel Fooled the Financial World and Led the Feds on One of the Most Publicized Manhunts in History","Ellen Pollock","2002","Free Press","11"
"0310225116","Springs in the Valley","L. B. Cowman","1980","Zondervan Publishing Company","78"
"0800758358","The Stranger from Medina: A Novel (Bagdon, Paul. West Texas Sunrise, Bk. 3.)","Paul Bagdon","2003","Revell","47"
"0385050755","The Time It Never Rained","Elmer Kelton","1973","Bantam Dell Pub Group","86"
"0842329218","Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2)","Tim LaHaye","1997","Tyndale House Publishers","41"
"0072430958","Taking Sides: Clashing Views on Controversial Issues in American History, Vol. I","Larry  Madaras","2001","McGraw-Hill/Dushkin","17"
"0684823780","Mere Christianity","C. S. Lewis","1996","Simon &amp; Schuster","84"
"1576738442","The Prayer of Jabez Devotional","Bruce Wilkinson","2001","Multnomah","48"
"0449219283","Snare of Serpents","Victoria Holt","1991","Ivy Books","18"
"0553574965","The Last Family","John R. Miller","1997","Bantam Books","20"
"0440225698","The Klone and I: A High-Tech Love Story","Danielle Steel","1999","Dell Publishing Company","89"
"0440221471","The Runaway Jury","JOHN GRISHAM","1997","Dell","35"
"0394541545","Texas","James A. Michener","1990","Random House Inc","46"
"0877958920","She Who Remembers","Linda Lay Shuler","1988","Arbor House Pub Co","42"
"0440235758","Going Overboard","Christina Skye","2001","Island","69"
"0743216458","Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest","Stephen E. Ambrose","2001","Simon &amp; Schuster","28"
"0061007129","Kane &amp; Abel","Jeffrey Archer","1993","HarperTorch","56"
"0886773784","Arrows of the Queen ( The Heralds of Valdemar, Book 1)","Mercedes Lackey","1996","Daw Books","42"
"0440228204","The Unprotected Witness (Laurel-Leaf Books)","James Stevenson","1999","Laurel-Leaf Books","15"
"0883657635","Roger Caras' Treasury of Great Cat Stories","Roger Caras","1992","BBS Publishing Corporation","97"
"0425143325","Without Remorse","Tom Clancy","2004","Berkley Publishing Group","53"
"0425180964","The Bear and the Dragon (Jack Ryan Novels)","Tom Clancy","2001","Berkley Publishing Group","56"
"0812520793","Throne of Isis","Judith Tarr","1995","Tor Books (Mm)","51"
"0312109393","The Bette Davis Murder Case","George Baxt","1994","St Martins Pr","50"
"0399148019","The Absence of Nectar","Kathy Hepinstall","2001","G. P. Putnam's Sons","61"
"8807014467","La Compagnia","Benni","1993","Feltrinelli","43"
"0373063121","Found: One Husband (Harlequin Medical Romance)","Meredith Webber","2001","Harlequin","23"
"0140620869","Alice's Adventures in Wonderland (Penguin Popular Classics)","Lewis Carroll","1994","Penguin Books Ltd","15"
"0553801589","The Tail of the Tip-Off","RITA MAE BROWN","2003","Bantam","53"
"0743411250","The Woman Next Door","Barbara Delinsky","2002","Pocket","85"
"0590129988","Clockwork : Or All Wound Up","Philip Pullman","1998","Scholastic","21"
"0375700684","Powder Burn (Vintage Crime/Black Lizard)","CARL HIAASEN","1998","Vintage","44"
"0375700692","Trap Line (Vintage Crime/Black Lizard)","Carl Hiaasen","1998","Vintage Books USA","92"
"0312955510","The Heart of Justice (Heart of Justice)","William J. Coughlin","1995","St. Martin's Press","42"
"8880891901","Frusciante","Brizzi","1999","Baldini e Castoldi","54"
"0345396537","First King of Shannara","Terry Brooks","1997","Del Rey Books","45"
"0452272092","So Far from God: A Novel","Ana Castillo","1994","Plume Books","100"
"3518383620","Der Kaiser von Amerika.","George Bernard Shaw","1992","Suhrkamp","18"
"3499262967","Die Teebarone.","Hella S. Haasse","2001","Wunderlich im Rowohlt","56"
"3407808836","Jedes Sandkorn ist ein Buchstabe","Arnulf Zitelmann","2002","Beltz","90"
"3423085711","Catherine, Lady wider Willen. Sonderausgabe.","Karen Cushman","2002","Dtv","84"
"3453159926","Atlantis.","Stephen King","1999","Heyne GmbH &amp; Co. KG, Verlag","67"
"3499137909","Der Plan von der Abschaffung des Dunkels.","Peter Hoeg","1998","Rowohlt Tb.","57"
"0747563721","The Man with the Dancing Eyes","Sophie Dahl","2003","Bloomsbury","53"
"0451518845","Jane Eyre","Charlotte Bronte","1999","New Amer Library Classics","22"
"0441009700","Tathea","Anne Perry","2002","Ace Books","51"
"0345395190","Orion Arm: The Rampart Worlds: Book 2 (May, Julian. Rampart Worlds, Bk. 2.)","Julian May","2000","Del Rey Books","41"
"0553265571","The Grey Horse","R.A. MacAvoy","1987","Spectra Books","93"
"0451521285","The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series)","William Shakespeare","1993","Signet Classics","92"
"0812566351","Prince of Whales","R. L. Fisher","1987","Tor Books","18"
"0060502258","The Divine Secrets of the Ya-Ya Sisterhood: A Novel","Rebecca Wells","2002","HarperTorch","23"
"0440911710","Camilla (Laurel Leaf Books)","MADELEINE L'ENGLE","1982","Laure Leaf","53"
"0140298444","S.: A Novel About the Balkans","Slavenka Drakulic","2001","Penguin Books","93"
"0395869463","The Bookshop : A Novel","Penelope Fitzgerald","1997","Mariner Books","62"
"0064407721","Kissing the Witch: Old Tales in New Skins","Emma Donoghue","1999","HarperTrophy","64"
"0684859785","The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World","Thomas M. Disch","2000","Free Press","44"
"0156806479","Selected Poems (Harvest Book)","T. S. Eliot","1967","Harvest Books","37"
"0553266055","All Things Wise and Wonderful","James Herriot","1981","Bantam","71"
"0345441443","Cruel As the Grave","Sharon Kay Penman","2001","Fawcett Books","85"
"0802132952","Naked Lunch","William S. Burroughs","1992","Grove Press","35"
"0441535771","Mistress Masham's Repose","T.H. White","1989","Ace Books","96"
"0812552989","First Book of Swords","Fred Saberhagen","1984","St Martins Press","87"
"0451521358","Macbeth","William Shakespeare","1989","New Amer Library (Mm)","49"
"0140089365","Q's Legacy","Helene Hanff","1986","Penguin Books","84"
"0451455126","Night Screams: Twenty-Two Stories of Terror","Edward Gorman","1996","Roc","28"
"038072345X","Anno Dracula","Kim Newman","1994","Harper Mass Market Paperbacks","40"
"1580173144","How to Sleep Soundly Tonight: 250 Simple and Natural Ways to Prevent Sleeplessness","Barbara L. Heller","2001","Storey Books","43"
"0671025570","Duane's Depressed","Larry McMurtry","1999","Pocket","56"
"0553274864","A Grief Observed","C. S. Lewis","1983","Bantam Books","31"
"1888604182","Seeking Wholeness: Insight into the Mystery of Experience","Roland Evans","2001","SunShine Press Publications","83"
"0805064362","After the Darkest Hour: How Suffering Begins the Journey to Wisdom","Kathleen A. Brehony","2001","Owl Books (NY)","26"
"0330336215","The Picador Book of the Beach","Robert Drewe","1996","Macmillan Pub Ltd","80"
"8845909840","La variante di Lüneburg (Fabula)","Paolo Maurensig","1993","Adelphi","41"
"0061020710","The Color of Magic","Terry Pratchett","2000","HarperTorch","66"
"0440204887","Illusions: The Adventures of a Reluctant Messiah","Richard Bach","1994","Dell Publishing Company","54"
"0345339681","The Hobbit : The Enchanting Prelude to The Lord of the Rings","J.R.R. TOLKIEN","1986","Del Rey","71"
"0812572297","Callahan's Secret","Spider Robinson","2002","Tor Books","99"
"0345272579","The Hobbit","J. R. R. Tolkien","1977","Ballantine Books","55"
"0385199570","The Stand (The Complete and Uncut Edition)","Stephen King","1990","Doubleday Books","16"
"0156007568","The Years with Laura Diaz","Carlos Fuentes","2001","Harvest Books","55"
"3426776545","Die F�?¼nf Tibeter.","Peter Kelder","2002","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.","35"
"3404701704","Die Regeln des Gl�?¼cks.","Dalai Lama","2001","L�?¼bbe","34"
"3423205202","Mittsommermord. Roman.","Henning Mankell","2002","Dtv","61"
"3453169247","Der Verrat.","John Grisham","2000","Heyne","66"
"3442541751","Russendisko.","Wladimir Kaminer","2002","Goldmann","23"
"3423202947","Hunde von Riga.","Henning Mankell","2000","Dtv","68"
"0374332657","Holes (Newbery Medal Book)","Louis Sachar","1998","Farrar, Straus and Giroux (BYR)","13"
"0553298496","She's Not What She Seems (Sweet Valley High No. 92)","Francine Pascal","1993","Sweet Valley","100"
"0553255371","Spring Break (Sweet Valley High Super Edition, No 3)","Francine Pascal","1986","Sweet Valley","28"
"0451528018","The Hound of the Baskervilles (Signet Classics (Paperback))","Arthur Conan Doyle","2001","Signet Classics","75"
"0842321942","Second Chance (Left Behind: The Kids #2)","Jerry B. Jenkins","1998","Tyndale House Publishers","92"
"0842321934","The Vanishings (Left Behind: The Kids #1)","Jerry B. Jenkins","1998","Tyndale House Publishers","11"
"1562475878","Happy Birthday, Josefina!: A Springtime Story (American Girls Collection (Paper))","Valerie Tripp","1998","Pleasant Company Publications","48"
"1562475193","Josefina's Surprise: A Christmas Story (American Girls Collection (Paper))","Valerie Tripp","1997","Pleasant Company Publications","15"
"0590997262","The Stranger (Animorphs (Paperback Numbered))","Katherine Applegate","1997","Scholastic","25"
"0590997297","The Secret (Animorphs, No 9)","Katherine Applegate","1997","Scholastic","24"
"0590762613","The Experiment (Animorphs, No 28)","K. A. Applegate","1999","Apple","10"
"0590213040","The Andalite's Gift (Animorphs : Megamorphs 1)","K. A. Applegate","1997","Scholastic","58"
"0439061652","Meet the Stars of Animorphs","Marie Morreale","1999","Scholastic","99"
"1584851651","School Smarts: All the Right Answers to Homework, Teachers, Popularity, and More!","Brooks Whitney","2000","American Girl","21"
"0141304707","The Wonderful Story of Henry Sugar and Six More","Roald Dahl","2000","Puffin Books","65"
"0679866957","Junie B. Jones and That Meanie Jim's B-Day (Junie B. Jones 6, paper)","Barbara Park","1996","Random House Children's Books","65"
"059048575X","101 Telephone Jokes","Katy Hall","1994","Scholastic Paperbacks (Mm)","40"
"044048474X","Tales of a Fourth Grade Nothing","JUDY BLUME","1976","Yearling","27"
"1568657803","Help! I'm Laughing and I Can't Get Up","Liz Curtis Higgs","1998","Thomas Nelson Publishers","96"
"0140309578","Pippi Longstocking (Seafarer Book)","Astrid Ericsson Lindgren","1997","Puffin Books","50"
"0671028049","Scarabian Nights:Sabrina, The Teenage Witch #24","Nancy Holder","1999","Simon Spotlight Entertainment","55"
"0671019805","LOTSA LUCK SABRINA THE TEENAGE WITCH 10","Diana G. Gallagher","1998","Simon Spotlight Entertainment","73"
"0671016954","All You Need Is a Love Spell (Sabrina the Teenage Witch, 7)","Randi Reisfeld","1998","Simon Spotlight Entertainment","93"
"0671019791","A DOGS LIFE SABRINA THE TEENAGE WITCH 9","Cathy West","1998","Simon Spotlight Entertainment","34"
"044809553X","The Sky Phantom (Nancy Drew Mystery Stories, No 53)","Carolyn Keene","1976","Grosset &amp; Dunlap","29"
"0671023810","TEACHER'S PET: SALEM'S TAILS #2: SABRINA, THE TEENAGE WITCH","Patricia Barnes-Svarney","1998","Simon Spotlight Entertainment","64"
